,num_layers,units,dropout,dense_nodes,activation_function,learning_rate,best_val_acc,best_val_acc_sem,best_val_acc_train_acc,best_val_acc_train_acc_sem,best_val_acc_loss,best_val_acc_loss_sem,best_val_acc_train_loss,best_val_acc_train_loss_sem,history
29,2,90,0.2,32,relu,0.001,0.8972906827926636,0.00040615712654016244,0.8970980167388916,5.302600023807818e-05,0.2623835802078247,0.0015440755279254692,0.260882169008255,0.0007974721169545357,"{'loss': [0.40003788471221924, 0.28242161870002747, 0.27449604868888855, 0.27302423119544983, 0.270906001329422, 0.2692831754684448, 0.26783356070518494, 0.26730814576148987, 0.26621437072753906, 0.265607088804245, 0.2650309205055237, 0.2651270627975464, 0.2641947269439697, 0.26466506719589233, 0.2636220157146454, 0.26274555921554565, 0.26338061690330505, 0.2638624310493469, 0.2626994848251343, 0.26277703046798706, 0.2622827887535095, 0.26226091384887695, 0.26288139820098877, 0.2624046802520752, 0.2626214027404785, 0.2622388005256653, 0.26196780800819397, 0.26177600026130676, 0.2618301212787628, 0.2617686092853546], 'accuracy': [0.8723638653755188, 0.8921312093734741, 0.8940697908401489, 0.8945838212966919, 0.8947747349739075, 0.8948187828063965, 0.8949509263038635, 0.8948334455490112, 0.8956412076950073, 0.8956264853477478, 0.8958321213722229, 0.8953474760055542, 0.894965648651123, 0.8952446579933167, 0.8959789872169495, 0.8962873816490173, 0.8962579965591431, 0.8958467841148376, 0.8957146406173706, 0.8959936499595642, 0.8962873816490173, 0.8956412076950073, 0.8962873816490173, 0.8962286114692688, 0.8958173990249634, 0.8961845636367798, 0.8954943418502808, 0.895523726940155, 0.8961405158042908, 0.8958027362823486], 'val_loss': [0.2736245393753052, 0.27706074714660645, 0.2656796872615814, 0.2679847776889801, 0.26536232233047485, 0.2648937404155731, 0.2637844383716583, 0.2655884921550751, 0.26277783513069153, 0.26154276728630066, 0.26445406675338745, 0.26099005341529846, 0.2630048990249634, 0.2620885372161865, 0.26294413208961487, 0.26212042570114136, 0.26223668456077576, 0.2631196677684784, 0.26096174120903015, 0.2612757682800293, 0.2619516849517822, 0.2618408501148224, 0.2627882957458496, 0.2609078288078308, 0.2651577293872833, 0.2630000114440918, 0.2619296610355377, 0.26113858819007874, 0.2618628442287445, 0.2608126401901245], 'val_accuracy': [0.8935495018959045, 0.8958407044410706, 0.896251916885376, 0.8974268436431885, 0.894548237323761, 0.8958407044410706, 0.8960168957710266, 0.8974268436431885, 0.8963693976402283, 0.8970156311988831, 0.8952531814575195, 0.897485613822937, 0.8954882025718689, 0.8960756659507751, 0.8971331119537354, 0.8952531814575195, 0.8956056833267212, 0.8976030945777893, 0.8978968262672424, 0.8972505927085876, 0.8952531814575195, 0.8967806100845337, 0.8947244882583618, 0.8977205753326416, 0.8951944708824158, 0.8956644535064697, 0.8956644535064697, 0.8958994150161743, 0.8959581851959229, 0.8978381156921387]}"
39,2,90,0.2,64,relu,0.001,0.8972789645195007,0.0004595059815424172,0.8967925429344177,0.00019264342347793305,0.26205605268478394,0.001535157709865696,0.26085318326950074,0.0007321061761918556,"{'loss': [0.3327125310897827, 0.2790035605430603, 0.27397486567497253, 0.2702634036540985, 0.26845553517341614, 0.2669702470302582, 0.2665843069553375, 0.26624366641044617, 0.2657059133052826, 0.26497945189476013, 0.26508790254592896, 0.26427704095840454, 0.26380956172943115, 0.26361745595932007, 0.2637968063354492, 0.26269960403442383, 0.26273030042648315, 0.2626049220561981, 0.26242712140083313, 0.2622568905353546, 0.2630840241909027, 0.26247483491897583, 0.2617628276348114, 0.26198050379753113, 0.2621314823627472, 0.2612197697162628, 0.26168856024742126, 0.26174208521842957, 0.26161614060401917, 0.2614439129829407], 'accuracy': [0.8841273784637451, 0.8931592702865601, 0.8943047523498535, 0.8947306871414185, 0.8948922157287598, 0.8952006101608276, 0.8953915238380432, 0.8953915238380432, 0.8953768610954285, 0.8958027362823486, 0.8954796195030212, 0.8955090045928955, 0.895567774772644, 0.8952593803405762, 0.8964342474937439, 0.8957146406173706, 0.8956264853477478, 0.8951712250709534, 0.8959055542945862, 0.8958467841148376, 0.8957293033599854, 0.896772027015686, 0.8957146406173706, 0.8963167667388916, 0.8958173990249634, 0.8960817456245422, 0.896125853061676, 0.8959642648696899, 0.8962579965591431, 0.8959349393844604], 'val_loss': [0.2730256915092468, 0.2702525854110718, 0.26645419001579285, 0.2644568979740143, 0.2632957398891449, 0.2631303071975708, 0.2644180953502655, 0.2614501118659973, 0.26236066222190857, 0.26234182715415955, 0.2622665762901306, 0.26206520199775696, 0.26331591606140137, 0.26188334822654724, 0.2614007890224457, 0.264672189950943, 0.2617596983909607, 0.2631243169307709, 0.2618419826030731, 0.2615038752555847, 0.26078152656555176, 0.26207002997398376, 0.2601597309112549, 0.26217949390411377, 0.26513954997062683, 0.2627946734428406, 0.26338180899620056, 0.2626965045928955, 0.2633453607559204, 0.2644994854927063], 'val_accuracy': [0.8939020037651062, 0.8934907913208008, 0.8946657180786133, 0.8954294323921204, 0.8961931467056274, 0.8970744013786316, 0.8971918821334839, 0.8983080983161926, 0.8956644535064697, 0.8964868783950806, 0.8959581851959229, 0.8958407044410706, 0.8960756659507751, 0.8980730772018433, 0.8973681330680847, 0.8976618647575378, 0.8959581851959229, 0.8956056833267212, 0.896251916885376, 0.8971918821334839, 0.8957231640815735, 0.8954294323921204, 0.8967218995094299, 0.8958994150161743, 0.8957231640815735, 0.8960756659507751, 0.8944307565689087, 0.895781934261322, 0.8951944708824158, 0.8951944708824158]}"
69,2,100,0.2,32,relu,0.001,0.8972084641456604,0.00040854230262659335,0.896602213382721,0.00010883194184300306,0.26385965943336487,0.0014745416948434408,0.2630639851093292,0.0009984746888318493,"{'loss': [0.37130415439605713, 0.28136545419692993, 0.27491021156311035, 0.27261248230934143, 0.27016130089759827, 0.26859551668167114, 0.26770496368408203, 0.26654669642448425, 0.2661787271499634, 0.2654045522212982, 0.26558974385261536, 0.26475203037261963, 0.2639087438583374, 0.2642066478729248, 0.2640373110771179, 0.26321521401405334, 0.26323065161705017, 0.2635282278060913, 0.26257726550102234, 0.2623487412929535, 0.26264214515686035, 0.26221442222595215, 0.2625410854816437, 0.26244252920150757, 0.2616312503814697, 0.2617918848991394, 0.2611299753189087, 0.26113617420196533, 0.2615162432193756, 0.2616385221481323], 'accuracy': [0.8762409687042236, 0.8928949236869812, 0.8937760591506958, 0.8941138386726379, 0.8950390815734863, 0.8953034281730652, 0.8951712250709534, 0.8948774933815002, 0.8952446579933167, 0.8961111307144165, 0.8956852555274963, 0.8957146406173706, 0.8955530524253845, 0.8959496021270752, 0.8956118226051331, 0.8959642648696899, 0.8952446579933167, 0.8957439661026001, 0.8961992859840393, 0.8963754773139954, 0.8956705927848816, 0.8961551785469055, 0.8957439661026001, 0.8958321213722229, 0.8959496021270752, 0.8952887058258057, 0.8958761692047119, 0.8960230350494385, 0.8962286114692688, 0.8960964679718018], 'val_loss': [0.27561694383621216, 0.2685939371585846, 0.2700254023075104, 0.26933568716049194, 0.266132652759552, 0.2639186382293701, 0.2677346169948578, 0.26380661129951477, 0.2655530571937561, 0.264391154050827, 0.2612731456756592, 0.26072537899017334, 0.2643204927444458, 0.26264819502830505, 0.26118943095207214, 0.26099106669425964, 0.26321741938591003, 0.26083940267562866, 0.26050615310668945, 0.26576927304267883, 0.261431485414505, 0.2628162205219269, 0.2616423964500427, 0.2622981667518616, 0.263187050819397, 0.26155921816825867, 0.26235777139663696, 0.26085662841796875, 0.2617381513118744, 0.2654263973236084], 'val_accuracy': [0.8940194845199585, 0.8947244882583618, 0.8940194845199585, 0.8959581851959229, 0.8949007391929626, 0.8969568610191345, 0.8976030945777893, 0.8973093628883362, 0.8959581851959229, 0.8982493281364441, 0.8976030945777893, 0.8980730772018433, 0.8946070075035095, 0.8953119516372681, 0.8974268436431885, 0.8967218995094299, 0.8951944708824158, 0.8978968262672424, 0.8963693976402283, 0.8954294323921204, 0.895781934261322, 0.8968981504440308, 0.8961344361305237, 0.8963106274604797, 0.8973681330680847, 0.895781934261322, 0.8971918821334839, 0.8959581851959229, 0.8957231640815735, 0.8953119516372681]}"
109,3,90,0.2,32,relu,0.001,0.8971967101097107,0.0004135073643331888,0.8967455506324769,0.00011218420524238145,0.2616000175476074,0.0011373434984202585,0.26000296473503115,0.0003970482768489138,"{'loss': [0.37291619181632996, 0.2831391394138336, 0.2756204605102539, 0.27184537053108215, 0.26964741945266724, 0.26837313175201416, 0.2677338123321533, 0.26690179109573364, 0.26637038588523865, 0.2656004726886749, 0.26512768864631653, 0.26445749402046204, 0.26457691192626953, 0.26447799801826477, 0.26417025923728943, 0.26353418827056885, 0.26372572779655457, 0.2635442018508911, 0.2630636692047119, 0.263575941324234, 0.26354289054870605, 0.26294422149658203, 0.2625962793827057, 0.2623834013938904, 0.26312708854675293, 0.26316508650779724, 0.2622165381908417, 0.2624460458755493, 0.2629203498363495, 0.2620379328727722], 'accuracy': [0.8786054253578186, 0.8934676647186279, 0.8938935399055481, 0.8944075703620911, 0.8943488001823425, 0.8952006101608276, 0.8954209089279175, 0.8952887058258057, 0.8954796195030212, 0.8946572542190552, 0.8953768610954285, 0.8956412076950073, 0.8957293033599854, 0.8957880735397339, 0.8957586884498596, 0.8955090045928955, 0.8957733511924744, 0.8954649567604065, 0.8957293033599854, 0.8959202170372009, 0.8951565623283386, 0.8960817456245422, 0.8956412076950073, 0.8961845636367798, 0.895406186580658, 0.8959789872169495, 0.8962727189064026, 0.8956412076950073, 0.8952740430831909, 0.8960817456245422], 'val_loss': [0.2731970548629761, 0.2730149030685425, 0.2675521671772003, 0.2667248547077179, 0.26305168867111206, 0.2626023292541504, 0.26407375931739807, 0.2661401331424713, 0.2626086175441742, 0.2649209797382355, 0.2627435624599457, 0.26535356044769287, 0.2641100287437439, 0.2626163363456726, 0.2613826394081116, 0.26075929403305054, 0.2610667943954468, 0.26139771938323975, 0.2617972195148468, 0.2603623569011688, 0.2621922492980957, 0.2630666196346283, 0.26156139373779297, 0.2630312442779541, 0.262528657913208, 0.26599574089050293, 0.2606741786003113, 0.26287683844566345, 0.2627311050891876, 0.2620164453983307], 'val_accuracy': [0.8935495018959045, 0.8950769305229187, 0.8947244882583618, 0.8949594497680664, 0.895781934261322, 0.8970156311988831, 0.8978968262672424, 0.8944894671440125, 0.8953707218170166, 0.8976030945777893, 0.8952531814575195, 0.8950182199478149, 0.8954294323921204, 0.8958994150161743, 0.8958407044410706, 0.897955596446991, 0.8974268436431885, 0.8971331119537354, 0.8955469131469727, 0.8978968262672424, 0.8961344361305237, 0.896251916885376, 0.8954882025718689, 0.8959581851959229, 0.8953119516372681, 0.8963693976402283, 0.8981318473815918, 0.8952531814575195, 0.8953119516372681, 0.8963693976402283]}"
159,3,100,0.2,64,relu,0.001,0.8971732139587403,0.0004962262734448729,0.896747887134552,6.265043957160159e-05,0.26241350173950195,0.0015043509532524008,0.2609522342681885,0.0004635364368187229,"{'loss': [0.38889065384864807, 0.2833627760410309, 0.2749602496623993, 0.2724004089832306, 0.2707768976688385, 0.2683556377887726, 0.26796966791152954, 0.26735126972198486, 0.2658269703388214, 0.2656799554824829, 0.26557716727256775, 0.2640109658241272, 0.264146089553833, 0.2643582224845886, 0.2639380097389221, 0.26382821798324585, 0.26368585228919983, 0.26330995559692383, 0.26346316933631897, 0.26342540979385376, 0.26315122842788696, 0.26343196630477905, 0.2626936137676239, 0.26252734661102295, 0.2625925838947296, 0.2624059021472931, 0.2627681791782379, 0.26247504353523254, 0.2624954581260681, 0.2624645233154297], 'accuracy': [0.8767696619033813, 0.893115222454071, 0.8938788771629333, 0.8944369554519653, 0.8941138386726379, 0.8951418399810791, 0.894760012626648, 0.8953034281730652, 0.895406186580658, 0.8951712250709534, 0.8949509263038635, 0.8953474760055542, 0.8958321213722229, 0.8955824375152588, 0.8959349393844604, 0.8950831294059753, 0.8952740430831909, 0.8959055542945862, 0.8952006101608276, 0.8963314294815063, 0.8958615064620972, 0.8951271772384644, 0.895406186580658, 0.8956118226051331, 0.8954943418502808, 0.8956264853477478, 0.8955971598625183, 0.8954649567604065, 0.8956999182701111, 0.8956264853477478], 'val_loss': [0.2854219675064087, 0.27619463205337524, 0.2784667909145355, 0.26650145649909973, 0.2641386389732361, 0.26437732577323914, 0.26812031865119934, 0.2627791166305542, 0.26247188448905945, 0.26094529032707214, 0.26365694403648376, 0.26438915729522705, 0.2614595890045166, 0.2620214819908142, 0.2604444921016693, 0.2635323107242584, 0.2640235722064972, 0.26166465878486633, 0.2619997262954712, 0.26101797819137573, 0.2669968903064728, 0.260736346244812, 0.2608230412006378, 0.2615397870540619, 0.2609460651874542, 0.26000526547431946, 0.2631189227104187, 0.2601848840713501, 0.26146286725997925, 0.2627175748348236], 'val_accuracy': [0.8935495018959045, 0.8940194845199585, 0.8955469131469727, 0.8940194845199585, 0.8956644535064697, 0.8966631293296814, 0.8981905579566956, 0.895781934261322, 0.898719310760498, 0.8968981504440308, 0.8944894671440125, 0.897485613822937, 0.8978968262672424, 0.8959581851959229, 0.8971331119537354, 0.8948419690132141, 0.8954882025718689, 0.8977793455123901, 0.8949594497680664, 0.8981318473815918, 0.8947244882583618, 0.8970156311988831, 0.8959581851959229, 0.8961931467056274, 0.8967806100845337, 0.897485613822937, 0.8963693976402283, 0.8963106274604797, 0.895781934261322, 0.8954882025718689]}"
79,2,100,0.2,64,relu,0.001,0.8971614599227905,0.00037739848286450937,0.8972131490707398,0.00010719346962895847,0.2631945967674255,0.0017426889461317455,0.2619434416294098,0.0017066511315301557,"{'loss': [0.3751804232597351, 0.28003087639808655, 0.27556535601615906, 0.2721289098262787, 0.2698114514350891, 0.26905617117881775, 0.2677038311958313, 0.26701611280441284, 0.2660923898220062, 0.2652891278266907, 0.2648831605911255, 0.26482513546943665, 0.2644723057746887, 0.26377132534980774, 0.26399725675582886, 0.26350244879722595, 0.26346355676651, 0.2630845308303833, 0.262760192155838, 0.2626765966415405, 0.26271650195121765, 0.26245465874671936, 0.26244547963142395, 0.26215919852256775, 0.26218146085739136, 0.2617033123970032, 0.26210179924964905, 0.26216137409210205, 0.26146459579467773, 0.26208171248435974], 'accuracy': [0.8744492530822754, 0.8930270671844482, 0.8932473659515381, 0.8947453498840332, 0.8947747349739075, 0.8952740430831909, 0.8952887058258057, 0.8952887058258057, 0.8952299952507019, 0.8957146406173706, 0.8957146406173706, 0.8956705927848816, 0.8956412076950073, 0.8962433338165283, 0.8954355716705322, 0.8956852555274963, 0.8959202170372009, 0.8960964679718018, 0.8964342474937439, 0.8963460922241211, 0.8961111307144165, 0.896213948726654, 0.8960524201393127, 0.8965370655059814, 0.8958321213722229, 0.8965076804161072, 0.8959055542945862, 0.8956412076950073, 0.8962727189064026, 0.8963020443916321], 'val_loss': [0.278683066368103, 0.2710074484348297, 0.2664118707180023, 0.2688101530075073, 0.26405951380729675, 0.26466426253318787, 0.2630537748336792, 0.2699524760246277, 0.2627909481525421, 0.2631639838218689, 0.262781023979187, 0.26291972398757935, 0.26261505484580994, 0.26415395736694336, 0.26247361302375793, 0.2611841857433319, 0.26207447052001953, 0.2637113928794861, 0.2635343372821808, 0.2640443742275238, 0.26282158493995667, 0.26366016268730164, 0.2609507143497467, 0.26215431094169617, 0.26183855533599854, 0.26060816645622253, 0.2628379166126251, 0.260227769613266, 0.26193472743034363, 0.262862890958786], 'val_accuracy': [0.8942545056343079, 0.8940194845199585, 0.8943719863891602, 0.896251916885376, 0.8952531814575195, 0.8956644535064697, 0.8958407044410706, 0.8981318473815918, 0.8968981504440308, 0.8958994150161743, 0.8964868783950806, 0.8958407044410706, 0.8969568610191345, 0.8965456485748291, 0.8976030945777893, 0.8963106274604797, 0.8972505927085876, 0.8949594497680664, 0.8955469131469727, 0.8947831988334656, 0.8973093628883362, 0.8956644535064697, 0.8971918821334839, 0.8981318473815918, 0.8952531814575195, 0.8965456485748291, 0.8971918821334839, 0.8974268436431885, 0.8978381156921387, 0.8950769305229187]}"
28,2,90,0.2,32,relu,0.001,0.8971391469240189,0.0004280670447643614,0.8971115350723267,5.7723050315271903e-05,0.26273903995752335,0.0016893371218519636,0.2611945942044258,0.0008350704871132549,"{'loss': [0.571357011795044, 0.2875661849975586, 0.2797313928604126, 0.27555352449417114, 0.27226540446281433, 0.271505206823349, 0.2704452872276306, 0.26984086632728577, 0.26805147528648376, 0.2675558924674988, 0.2669694423675537, 0.26639968156814575, 0.2663041651248932, 0.2657003402709961, 0.2651255428791046, 0.26458656787872314, 0.2642660439014435, 0.2638756036758423, 0.26392632722854614, 0.2635420858860016, 0.26339131593704224, 0.26358234882354736, 0.2634117305278778, 0.263260155916214, 0.2629739046096802, 0.26277339458465576, 0.2630806267261505, 0.26309990882873535, 0.2629055380821228, 0.26283127069473267], 'accuracy': [0.858542263507843, 0.8918946981430054, 0.893980085849762, 0.8937598466873169, 0.8948612809181213, 0.8952284455299377, 0.8947878479957581, 0.8947584629058838, 0.8952431082725525, 0.8950081467628479, 0.8951696753501892, 0.8950521945953369, 0.8955221772193909, 0.895389974117279, 0.8958011865615845, 0.895389974117279, 0.8961096405982971, 0.8954046964645386, 0.8959333896636963, 0.8957865238189697, 0.895859956741333, 0.8960214853286743, 0.8957277536392212, 0.8962123990058899, 0.895859956741333, 0.8962271213531494, 0.8962123990058899, 0.8955808877944946, 0.895815908908844, 0.8962565064430237], 'val_loss': [0.274244487285614, 0.26750513911247253, 0.2678488492965698, 0.26271626353263855, 0.2622063457965851, 0.2626579999923706, 0.26869383454322815, 0.26048392057418823, 0.2601972222328186, 0.2597711682319641, 0.2606387436389923, 0.26008448004722595, 0.26027387380599976, 0.25909069180488586, 0.2597293257713318, 0.2575357258319855, 0.26034700870513916, 0.2585977017879486, 0.2586582899093628, 0.25736168026924133, 0.2588888704776764, 0.25756341218948364, 0.2581746578216553, 0.25780627131462097, 0.25803491473197937, 0.25796663761138916, 0.2580607831478119, 0.25937190651893616, 0.2575491964817047, 0.25745293498039246], 'val_accuracy': [0.8934970498085022, 0.8934970498085022, 0.8940257430076599, 0.8950243592262268, 0.8950831294059753, 0.8959642648696899, 0.8936145305633545, 0.8958467841148376, 0.8951418399810791, 0.8959055542945862, 0.8963167667388916, 0.8972566723823547, 0.8954355716705322, 0.8967866897583008, 0.8954355716705322, 0.898020327091217, 0.8979028463363647, 0.8960817456245422, 0.8960817456245422, 0.8974916338920593, 0.8962579965591431, 0.8985490202903748, 0.8984902501106262, 0.8977265954017639, 0.8960230350494385, 0.8983727693557739, 0.8965517282485962, 0.898020327091217, 0.8987839818000793, 0.8974916338920593]}"
149,3,100,0.2,32,relu,0.001,0.8971379637718201,0.00043259381578434844,0.896635103225708,0.00013414132017263334,0.26366297602653505,0.001636335129645146,0.26256616711616515,0.0007853446143600307,"{'loss': [0.3298894166946411, 0.2814171612262726, 0.27573996782302856, 0.27182599902153015, 0.2696048319339752, 0.26811161637306213, 0.2674202024936676, 0.26620084047317505, 0.26610803604125977, 0.26491469144821167, 0.2650618851184845, 0.2652365267276764, 0.2643474042415619, 0.2644357979297638, 0.2641338109970093, 0.26426124572753906, 0.2625637352466583, 0.2636154592037201, 0.26336950063705444, 0.2633380591869354, 0.26358094811439514, 0.2621999979019165, 0.2629386782646179, 0.262759804725647, 0.2623205780982971, 0.2625337839126587, 0.2626044452190399, 0.26229092478752136, 0.26151737570762634, 0.26212769746780396], 'accuracy': [0.8859337568283081, 0.8932473659515381, 0.8931592702865601, 0.894201934337616, 0.8944075703620911, 0.8951271772384644, 0.8948922157287598, 0.8950684070587158, 0.8947747349739075, 0.8957439661026001, 0.8948628306388855, 0.8950243592262268, 0.8958908319473267, 0.8956264853477478, 0.8958173990249634, 0.8952446579933167, 0.8964489102363586, 0.8958761692047119, 0.8957586884498596, 0.8955824375152588, 0.8954209089279175, 0.8962433338165283, 0.8956118226051331, 0.8954209089279175, 0.896213948726654, 0.8957146406173706, 0.8959496021270752, 0.8959202170372009, 0.8958027362823486, 0.8959349393844604], 'val_loss': [0.27995947003364563, 0.2678541839122772, 0.273975133895874, 0.2659054100513458, 0.26357704401016235, 0.2634398937225342, 0.26229941844940186, 0.26338279247283936, 0.2623594403266907, 0.2612835168838501, 0.26191866397857666, 0.26100191473960876, 0.261831134557724, 0.26115524768829346, 0.2617919445037842, 0.26107585430145264, 0.26187387108802795, 0.265884667634964, 0.26127129793167114, 0.26215100288391113, 0.26282739639282227, 0.2616564631462097, 0.26331374049186707, 0.2645001709461212, 0.2637874186038971, 0.2615109980106354, 0.2616289258003235, 0.26058489084243774, 0.26248469948768616, 0.2611342668533325], 'val_accuracy': [0.8950182199478149, 0.8946657180786133, 0.8949594497680664, 0.8937845230102539, 0.8971331119537354, 0.8963106274604797, 0.8973093628883362, 0.8975443840026855, 0.8966631293296814, 0.8972505927085876, 0.8983668088912964, 0.8961931467056274, 0.8981905579566956, 0.8978381156921387, 0.8956056833267212, 0.895781934261322, 0.8963106274604797, 0.8956056833267212, 0.896251916885376, 0.8950769305229187, 0.8956644535064697, 0.8960756659507751, 0.8944894671440125, 0.8958407044410706, 0.8941957354545593, 0.8966631293296814, 0.8964868783950806, 0.896251916885376, 0.8946657180786133, 0.8959581851959229]}"
59,2,100,0.3,64,relu,0.001,0.8971262216567993,0.0004362713177894267,0.89661865234375,0.0001791760357788744,0.2621891021728516,0.0011521766672212528,0.2612715005874634,0.0002905082998683672,"{'loss': [0.36495739221572876, 0.2825697958469391, 0.27611806988716125, 0.27297329902648926, 0.2704888880252838, 0.2693072259426117, 0.26802778244018555, 0.2670014500617981, 0.2670678496360779, 0.2669966220855713, 0.26571017503738403, 0.26512324810028076, 0.2653983533382416, 0.264920175075531, 0.2645104229450226, 0.26451975107192993, 0.26452091336250305, 0.26456356048583984, 0.2644971013069153, 0.26353248953819275, 0.26368266344070435, 0.2634202241897583, 0.26372838020324707, 0.2635594308376312, 0.26363253593444824, 0.263076514005661, 0.2635454833507538, 0.2634231448173523, 0.26251447200775146, 0.2628004252910614], 'accuracy': [0.8802502751350403, 0.8929389715194702, 0.8936439156532288, 0.8941726088523865, 0.8944516181945801, 0.8948187828063965, 0.8954796195030212, 0.8948922157287598, 0.8948774933815002, 0.8947159647941589, 0.8954943418502808, 0.8950977921485901, 0.8957146406173706, 0.8952446579933167, 0.8958761692047119, 0.8955530524253845, 0.8952006101608276, 0.8952446579933167, 0.8962727189064026, 0.8955090045928955, 0.8958173990249634, 0.8959055542945862, 0.8959642648696899, 0.8963167667388916, 0.8957439661026001, 0.8956118226051331, 0.8962433338165283, 0.8954209089279175, 0.8958467841148376, 0.8960230350494385], 'val_loss': [0.2778707444667816, 0.26920172572135925, 0.27011972665786743, 0.2680736780166626, 0.2648858428001404, 0.26373639702796936, 0.262026309967041, 0.2642326056957245, 0.26247015595436096, 0.2618420720100403, 0.2618255019187927, 0.2624879777431488, 0.26157939434051514, 0.26295942068099976, 0.26305925846099854, 0.26524868607521057, 0.2617355287075043, 0.2628151774406433, 0.26157519221305847, 0.2629528343677521, 0.2615117132663727, 0.2615205645561218, 0.2644428312778473, 0.2646180987358093, 0.2618672549724579, 0.2659350335597992, 0.26415058970451355, 0.261624813079834, 0.26182788610458374, 0.2614136040210724], 'val_accuracy': [0.8935495018959045, 0.8936082720756531, 0.8956056833267212, 0.8970744013786316, 0.8951357007026672, 0.8959581851959229, 0.8982493281364441, 0.8958407044410706, 0.8964868783950806, 0.8973093628883362, 0.8970156311988831, 0.8961344361305237, 0.8955469131469727, 0.8956644535064697, 0.8966631293296814, 0.894548237323761, 0.8969568610191345, 0.8951357007026672, 0.8955469131469727, 0.8946657180786133, 0.896251916885376, 0.8968981504440308, 0.8953119516372681, 0.8950182199478149, 0.8956056833267212, 0.8949594497680664, 0.8948419690132141, 0.895781934261322, 0.8959581851959229, 0.8958994150161743]}"
49,2,100,0.3,32,relu,0.001,0.8970674872398376,0.00042735745776595633,0.8968677401542664,6.0644497715179405e-05,0.2629795014858246,0.0015222756437228567,0.26207969188690183,0.0005326423025727369,"{'loss': [0.3850976824760437, 0.28660354018211365, 0.2785945236682892, 0.2750328481197357, 0.27208420634269714, 0.2702045738697052, 0.26897457242012024, 0.2682459354400635, 0.2676340937614441, 0.2667277455329895, 0.266326367855072, 0.2656991183757782, 0.2654253840446472, 0.26491013169288635, 0.26435551047325134, 0.26426294445991516, 0.2642821669578552, 0.26418036222457886, 0.26422324776649475, 0.2630777955055237, 0.2643831968307495, 0.2640015780925751, 0.2638651728630066, 0.26333439350128174, 0.2633134424686432, 0.26359373331069946, 0.2632509768009186, 0.2625791132450104, 0.26256752014160156, 0.26287710666656494], 'accuracy': [0.8756682276725769, 0.8930270671844482, 0.8936585783958435, 0.8939963579177856, 0.8944369554519653, 0.8945397138595581, 0.894921600818634, 0.894965648651123, 0.8945103883743286, 0.8958615064620972, 0.8950537443161011, 0.8952446579933167, 0.8953474760055542, 0.8957586884498596, 0.8953768610954285, 0.8953034281730652, 0.8962873816490173, 0.8960670828819275, 0.8956412076950073, 0.8960817456245422, 0.8952152729034424, 0.895567774772644, 0.8956999182701111, 0.8959642648696899, 0.8958173990249634, 0.8958027362823486, 0.896169900894165, 0.8956412076950073, 0.8959789872169495, 0.8963460922241211], 'val_loss': [0.28314733505249023, 0.2701513469219208, 0.2680737376213074, 0.27004092931747437, 0.26510199904441833, 0.26524731516838074, 0.26469606161117554, 0.2642592787742615, 0.2626367509365082, 0.2633996605873108, 0.26458510756492615, 0.2633676528930664, 0.2623113989830017, 0.2636010944843292, 0.26257821917533875, 0.26424044370651245, 0.2644267678260803, 0.2649754285812378, 0.2653549611568451, 0.26189932227134705, 0.2616519033908844, 0.2634921669960022, 0.2626318633556366, 0.26501935720443726, 0.2662337124347687, 0.26287245750427246, 0.2632055878639221, 0.26114383339881897, 0.26287001371383667, 0.2637304365634918], 'val_accuracy': [0.8935495018959045, 0.8939607739448547, 0.8943132162094116, 0.8939020037651062, 0.8946657180786133, 0.8952531814575195, 0.8966631293296814, 0.8967218995094299, 0.8954294323921204, 0.8954294323921204, 0.8941957354545593, 0.8951357007026672, 0.8956056833267212, 0.8981318473815918, 0.8955469131469727, 0.8954294323921204, 0.8958994150161743, 0.8955469131469727, 0.8950769305229187, 0.8953119516372681, 0.8968981504440308, 0.895781934261322, 0.8953119516372681, 0.8940194845199585, 0.8940194845199585, 0.8978381156921387, 0.8954882025718689, 0.8967218995094299, 0.8950769305229187, 0.8953119516372681]}"
